Location,OriginalTweet,ScreenName,Sentiment,TweetAt,UserName,annotation_id,annotator,created_at,id,lead_time,table_value_1,updated_at,AutoLabel
"Wales, United Kingdom","Ok if #COVID2019 is nothing to panic about why is Italy imposing the biggest restrictions on the civilian population since WW2? 
How will the supermarkets be able to provide food if all the workers are told to stay at home? 
Same with any other Bussiness.",45019,Positive,10-03-2020,67,46.0,1.0,2024-10-01T12:16:27.537196Z,396.0,0.794,,2024-10-01T12:16:27.537196Z,
,Dont forget to stock up on extra food for your babies during this time!!! #Covid_19 #CoronaAlert #CoronaOutbreak #Corona https://t.co/6roxWPIcft,46503,Negative,13-03-2020,1551,47.0,1.0,2024-10-01T12:16:29.573134Z,397.0,0.961,,2024-10-01T12:16:29.573134Z,
Parts Unknown,"The scary part is, I'm just some random guy. I'm pretty sure there are entities 1000x higher on the food chain that are offering solutions. Why is there still panic and misinformation?

#QuarentineLife #coronavirus",48427,Negative,16-03-2020,3475,48.0,1.0,2024-10-01T12:16:31.154257Z,398.0,0.613,,2024-10-01T12:16:31.154257Z,
,"Im not discounting the danger for some while attending a sporting event, but tell me why its ok for me to continue going to work at a grocery store where thousands of customers come and go on a daily basis carrying an unknown amount of sicknesses or the #coronavirus https://t.co/zNhWEM7K6p",45216,Positive,11-03-2020,264,49.0,1.0,2024-10-01T12:16:33.943650Z,399.0,0.753,,2024-10-01T12:16:33.943650Z,
United States,This #Covid_19 is scary and confusing. Schools are closing in my area now. Grocery store shelves are empty. Not sure what I should do so just staying in and hoping I dont run out of #toiletpaper #CoronavirusPandemic,46053,Extremely Negative,13-03-2020,1101,50.0,1.0,2024-10-01T12:16:35.656396Z,400.0,0.861,,2024-10-01T12:16:35.656396Z,
Philadelphia,I woke up early to make two different meal plans: regular and meatless. I have no clue what the status of the grocery store will look like today. ???? #Covid_19,46016,Positive,13-03-2020,1064,51.0,1.0,2024-10-01T12:16:37.432870Z,401.0,0.768,,2024-10-01T12:16:37.432870Z,
"Holland Landing, ON","@Amy_Siskind Also remember your local Food Bank. Not everyone is able to afford the reassurance of a well stocked pantry. When you stock up, grab a couple of items for your local Food Bank. #FoodInsecurity #Covid_19  #BeKind",47475,Positive,14-03-2020,2523,52.0,1.0,2024-10-01T12:16:39.415892Z,402.0,1.077,,2024-10-01T12:16:39.415892Z,
USA | she/her ?????,Be kind to employees at the grocery store by thanking them for working tirelessly at the registers and restocking inventory in the aisles. It makes a big difference in their day when they feel appreciated.?? #Covid_19,46459,Extremely Positive,13-03-2020,1507,53.0,1.0,2024-10-01T12:16:41.491751Z,403.0,0.931,,2024-10-01T12:16:41.491751Z,
,"When herd mentality makes you want to stockpile unnecessarily, bear in mind the only pasta left on the supermarket shelves this morning is Italian, this is how ill-informed ppl are about #Covid_19.  Take a beat,  check out the @CDCgov website and #buyItalian ? ?",47123,Negative,13-03-2020,2171,54.0,1.0,2024-10-01T12:16:43.360535Z,404.0,0.822,,2024-10-01T12:16:43.360535Z,
"Sarasota, FL",JUST CLOSE IT Nike announced it will temporarily close all US retail store on Monday to prevent the possible spread of COVID 19 DETAILS,47898,Neutral,15-03-2020,2946,55.0,1.0,2024-10-01T12:16:45.949039Z,405.0,1.412,,2024-10-01T12:16:45.949039Z,
Baku,"What's positive about Corona virus:
- helping to fight climate crisis
- stock markets are disrupted
- oil prices are getting lower
- flights cancelled
- more family gatherings
- works can be done via emails and from home
- distance education is working

Comrade #Covid_19 ?",45836,Extremely Negative,12-03-2020,884,56.0,1.0,2024-10-01T12:16:47.919624Z,406.0,1.09,,2024-10-01T12:16:47.919624Z,
"Cincinnati, OH","Our chief economist @Alex_Carrick says the #coronavirus is wreaking havoc on Canadas economy, particularly its energy sector. https://t.co/6y1SS7r5nK #COVID19",46201,Negative,13-03-2020,1249,57.0,1.0,2024-10-01T12:16:49.574730Z,407.0,0.583,,2024-10-01T12:16:49.574730Z,
"British Columbia, Canada","@CNBC Lowering interest rates can not kill the #coronavirus, but it may increase food and drug prices.  It could be even worse.  
Fluctuations in stock prices leave the market to decide.  People have only once life, the Fed needs to focus more on saving",48219,Positive,15-03-2020,3267,58.0,1.0,2024-10-01T12:16:53.821836Z,408.0,1.281,,2024-10-01T12:16:53.821836Z,
New York City & Florida,"Today, I talk US #retail store closings due to #coronavirus &amp; what it means for #USGDP #economy.  I look at #DJIA &amp; #VIX . I give my two cents on what to do ahead of/early on in  a #recession.  #https://www.youtube.com/channel/UCbzNB63EBA8iMg2CEsAzgoQ",48417,Neutral,16-03-2020,3465,59.0,1.0,2024-10-01T12:16:55.654377Z,409.0,0.72,,2024-10-01T12:16:55.654377Z,
,Dear big supermarkets with more demand and extra cash on your bottom line can you pledge not only to make food banks more visible in your stores but also to significantly increase your own donations We all need to work together on this,48364,Positive,16-03-2020,3412,60.0,1.0,2024-10-01T12:16:57.346043Z,410.0,0.783,,2024-10-01T12:16:57.346043Z,
North Carolina,"Coronavirus, COVID-19, oil price drop will lead to US recession - Business Insider https://t.co/A7hsqwQDOe",45046,Negative,10-03-2020,94,61.0,1.0,2024-10-01T12:16:59.359536Z,411.0,1.074,,2024-10-01T12:16:59.359536Z,
Gurgaon,Consumer goods flying off the shelves due to #COVID2019.,48408,Neutral,16-03-2020,3456,62.0,1.0,2024-10-01T12:17:01.430512Z,412.0,1.128,,2024-10-01T12:17:01.430512Z,
"Pennsylvania, USA",Working at a retail store with all this #coronavirus hitting in my county really makes me wonder..,45508,Neutral,12-03-2020,556,63.0,1.0,2024-10-01T12:17:03.279155Z,413.0,0.979,,2024-10-01T12:17:03.279155Z,
"Wichita, KS",My last day of consumer lending training better not get cancelled tomorrow. #Covid_19,46991,Positive,13-03-2020,2039,64.0,1.0,2024-10-01T12:17:05.464441Z,414.0,1.267,,2024-10-01T12:17:05.464441Z,
,About to head to the grocery store(because I do every Friday and actually need stuff) and I'm kinda scared.  #Covid_19,45920,Negative,13-03-2020,968,65.0,1.0,2024-10-01T12:17:07.214206Z,415.0,0.942,,2024-10-01T12:17:07.214206Z,
"San Francisco, St. Paul","""Current estimates suggest COVID-19 is 20-30X more deadly than seasonal influenza"" via Kayli Hiban blog @CDDEP https://t.co/JBB6FAVRMX",48607,Neutral,16-03-2020,3655,66.0,1.0,2024-10-01T12:17:09.769832Z,416.0,1.631,,2024-10-01T12:17:09.769832Z,
"Sudbury, Ontario","The line up at my grocery store went all the way around 3 walls. I was just doing my normal groceries, and there was no bread or toilet paper. Theres barely any meat. The frozen food shave been raided. Its like this all@over town. Theres been a single case here. #coronavirus",47103,Positive,13-03-2020,2151,67.0,1.0,2024-10-01T12:17:11.885709Z,417.0,1.1,,2024-10-01T12:17:11.885709Z,
Toronto,"Just went to the the grocery store (Highland Farms) and there is still quite a bit of food. No toilet paper or cleaning supplies but at least I wont starve. 

#coronavirus #covid19Canada #Toronto",46299,Positive,13-03-2020,1347,68.0,1.0,2024-10-01T12:17:13.812368Z,418.0,1.034,,2024-10-01T12:17:13.812368Z,
,At my local grocery store in New Hampshire... #coronavirus #Covid_19 #NationalEmergency https://t.co/AXuMBSfNU9,46023,Neutral,13-03-2020,1071,69.0,1.0,2024-10-01T12:17:16.981023Z,419.0,1.584,,2024-10-01T12:17:16.981023Z,
NYC,"TRENDING: New Yorkers encounter empty supermarket shelves (pictured, Wegmans in Brooklyn), sold-out online grocers (FoodKick, MaxDelivery) as #coronavirus-fearing shoppers stock up https://t.co/Gr76pcrLWh https://t.co/ivMKMsqdT1",44953,Extremely Negative,02-03-2020,1,,,,,,,,Очень отрицательно
"Seattle, WA","When I couldn't find hand sanitizer at Fred Meyer, I turned to #Amazon. But $114.97 for a 2 pack of Purell??!!Check out how  #coronavirus concerns are driving up prices. https://t.co/ygbipBflMY",44954,Positive,02-03-2020,2,,,,,,,,Положительно
,Find out how you can protect yourself and loved ones from #coronavirus. ?,44955,Extremely Positive,02-03-2020,3,,,,,,,,Очень положительно
Chicagoland,"#Panic buying hits #NewYork City as anxious shoppers stock up on food&amp;medical supplies after #healthcare worker in her 30s becomes #BigApple 1st confirmed #coronavirus patient OR a #Bloomberg staged event?

https://t.co/IASiReGPC4

#QAnon #QAnon2018 #QAnon2020 
#Election2020 #CDC https://t.co/29isZOewxu",44956,Negative,02-03-2020,4,,,,,,,,Отрицательно
"Melbourne, Victoria",#toiletpaper #dunnypaper #coronavirus #coronavirusaustralia #CoronaVirusUpdate #Covid_19 #9News  #Corvid19 #7NewsMelb #dunnypapergate #Costco    One week everyone buying baby milk powder the next everyone buying up toilet paper. https://t.co/ScZryVvsIh,44957,Neutral,03-03-2020,5,,,,,,,,Нейтрально
Los Angeles,Do you remember the last time you paid $2.99 a gallon for regular gas in Los Angeles?Prices at the pump are going down. A look at how the #coronavirus is impacting prices. 4pm @ABC7 https://t.co/Pyzq8YMuV5,44958,Neutral,03-03-2020,6,,,,,,,,Отрицательно
,Voting in the age of #coronavirus = hand sanitizer ? #SuperTuesday https://t.co/z0BeL4O6Dk,44959,Positive,03-03-2020,7,,,,,,,,Положительно
"Geneva, Switzerland","@DrTedros ""We cant stop #COVID19 without protecting #healthworkers.
Prices of surgical masks have increased six-fold, N95 respirators have more than trebled &amp; gowns cost twice as much""-@DrTedros #coronavirus",44960,Neutral,03-03-2020,8,,,,,,,,Очень положительно
,"HI TWITTER! I am a pharmacist. I sell hand sanitizer for a living! Or I do when any exists. Like masks, it is sold the fuck out everywhere. SHOULD YOU BE WORRIED? No. Use soap. SHOULD YOU VISIT TWENTY PHARMACIES LOOKING FOR THE LAST BOTTLE? No. Pharmacies are full of sick people.",44961,Extremely Negative,04-03-2020,9,,,,,,,,Положительно
"Dublin, Ireland","Anyone been in a supermarket over the last few days? Went to do my NORMAL shop last night &amp; ??is the sight that greeted me. Barmy! (Btw, whats so special about tinned tomatoes? ????????????). #Covid_19 #Dublin https://t.co/rGsM8xUxr6",44962,Extremely Positive,04-03-2020,10,,,,,,,,Отрицательно
"Boksburg, South Africa","Best quality couches at unbelievably low prices available to order.

We are in Boksburg GP 

For more info WhatsApp:
084 764 8086

#SuperTuesdsy #PowerTalk 
#Covid_19 #SayEntrepreneur 
#DJSBU https://t.co/HhDJhyQ2Dc",44963,Positive,04-03-2020,11,,,,,,,,Отрицательно
New Delhi,"Beware of counterfeits trying to sell fake masks at cheap prices. Let's defeat coronavirus threat, #Covid_19 collectively. #BeSafe #BeACascader #CoronavirusReachesDelhi 
#coronavirusindia 

https://t.co/2Ikkmimj4f https://t.co/RB9rtt7Nkc",44964,Extremely Negative,04-03-2020,12,,,,,,,,Отрицательно
"USA, PA","Panic food buying in Germany due to #coronavirus has begun.  But the #organic is left behind! #Hamsterkauf

Panic buying is called ""Hamster purchases""(Hamsterkäufe) in German, taken from the way Hamsters stuff their cheeks with food.  

https://t.co/aYQtLLGW1m",44965,Extremely Negative,04-03-2020,13,,,,,,,,Отрицательно
,"#Covid_19 Went to the Grocery Store, turns out all cleaning supplies have been bought out for fear of Coronavirus.

My daughter's substitute teacher showed her class how to make hand sanitizer. Now I just need to buy some 100% alcohol. Wish me luck that any stores will have it.",44966,Extremely Positive,04-03-2020,14,,,,,,,,Положительно
"Washington, DC","While we were busy watching election returns and bracing for a Covid-19 outbreak, Trump nominated a chemical-industry lobbyist to head the Consumer Product Safety Commission https://t.co/M2ShHI1Tn0",44967,Positive,04-03-2020,15,,,,,,,,Отрицательно
Bengaluru ,"#AirSewa 

@flyspicejet is not providing #webchecin customers free seats.

Passengers are forced to choose paid seats as free seats are made available only at airport counter. 

This should be stopped as its discriminatory and against travellers rights 

@HardeepSPuri @MoCA_GoI",44968,Extremely Negative,04-03-2020,16,,,,,,,,Отрицательно
Mumbai,"What Precautionary measures have you all taken in your respective Restaurants and Hotels, Comment below...
#COVID-19 #Coronavirus

COVID-19: Hotel chains enforce precautionary measures, issue safety, hygiene advisories
https://t.co/7Zo2vqSPzY",44969,Extremely Positive,05-03-2020,17,,,,,,,,Отрицательно
"Toronto, Ontario","When youre stockpiling food &amp; other supplies, buy extra for your local food bank. Many families dont have the luxury to spend beyond their weekly budget. @DailyBreadTO  #coronavirus",44970,Neutral,05-03-2020,18,,,,,,,,Отрицательно
,"That's about a week from now. A bit optimistic.  Probably it will take another month.  Supply chain may be recovering, demand chain will be non-existent in US and Europe for the next month or two.
$spx $qqq $es $nq https://t.co/yXcOfL0BnI",44971,Positive,05-03-2020,19,,,,,,,,Отрицательно
Tallahassee,"Studies show the #coronavirus like #COVID19 can live up to nine days on hard surfaces like metal, plastic, and glass.

Our Deputy Commissioner of Consumer Affairs Mary Barzee Flores shows you how to keep clean at the gas pump.

Watch and share? https://t.co/AIqATWT5zz",44972,Extremely Positive,05-03-2020,20,,,,,,,,Отрицательно
Malta,"#CoronaVirus #COVID_19 People are starting to become frightened and to do #PanicShopping. Many shelves, meanwhile, turn empty as #goods are sold. #FaceMasks &amp; disinfection liquid are sold out, or they are sold for exorbitant prices! #Blockchain #CryptoNews https://t.co/AkR3lmLEKf",44973,Negative,05-03-2020,21,,,,,,,,Очень отрицательно
"Texas, USA","For those of you that think credit/debit is just as good as #bitcoin when it comes to combating #coronavirus, keep in mind that this is not a ""contactless transaction.""  How many people at your grocery store or gas station touch this keypad every day? https://t.co/WVq8bb9OlS",44974,Extremely Positive,05-03-2020,22,,,,,,,,Отрицательно
"Florida, USA",Control over stocks and gold is lost...gold coming back very nicely! Loves wallbridge and Balmoral and warns listeners about #coronavirus Sprott Money Ltd. recently put in money to $OCG $GENM $MMG and many more... https://t.co/3aURZ2e4Sj,44975,Extremely Positive,06-03-2020,23,,,,,,,,Отрицательно
Chandigarh,"Sellers are cashing on your panic to sell facemasks and sanitizers at super inflated prices.

In reality, neither sanitizer nor facemasks are ""must have"" to save yourself from #coronavirus. 

Please watch this video for more :

https://t.co/sgOFnAu4j8",44976,Extremely Positive,06-03-2020,24,,,,,,,,Очень отрицательно
Canada,"Canada's oilpatch is bracing for the impact of plunging crude prices after OPEC and its allies failed to reach a deal aimed at cutting production as economies slow because of the novel #coronavirus. The fool @Jkenney based his budget on hired oil prices 

https://t.co/fDCpQPvPuo",44977,Extremely Negative,07-03-2020,25,,,,,,,,Отрицательно
"Wayne County, MI","Alright yall I hope our Melanin prevails but just in case I took some precautions I had some food &amp; water delivered. ????? Ive had my masks for a month and may have to open soon! 
?? #B1 #FBA 

#CoronavirusUSA #COVID https://t.co/cTQMDgDgtD",44978,Positive,07-03-2020,26,,,,,,,,Отрицательно
"Bondi Beach, Sydney",When your usual grocery shopping @woolworths turns into a toilet paper fight in the supermarket aisle. Yikes. #toiletpaperpanic for the #coronavirus has taken a whole new level. https://t.co/aKJ283I20C,44979,Negative,07-03-2020,27,,,,,,,,Очень отрицательно
,"Coronavirus panic spreads: Costco is pulling free samples over COVID-19 - USA TODAY

Coronavirus panic spreads: Costco is pulling free samples over COVID-19  USA TODAY

'It's pandemonium': virus panic-buying hits Los Angeles  Yahoo News

How Costco is Ha https://t.co/MyTDpDomEI",44980,Negative,07-03-2020,28,,,,,,,,Очень отрицательно
,"While you are stocking up, waiting for quarantine, if you can don't forget to donate  food, water, and toiletries to your local food banks to help others without the means to stock up. Get ahead of it before it becomes a crisis. #covid19 #coronavirus",44981,Negative,07-03-2020,29,,,,,,,,Отрицательно
United States,"#Coronavirus is ""an exposure of all the holes in the social safety net,"" says NELP Government Affairs Director Judy Conti

#UI #Unemployment #PaidLeaveForAll
https://t.co/BrCY9IJWSv",44982,Positive,07-03-2020,30,,,,,,,,Отрицательно
"New York, New York","Two important phone numbers NYers should know. If you have no doctor or insurance and think you may be sick and need to be tested for #coronavirus, call the state's helpline: 1-888-364-3065. To report price gouging, call the Div. of Consumer Protection at 1-800-697-1220.",44983,Negative,07-03-2020,31,,,,,,,,Отрицательно
"London, England","Tip for all Pro Wrestlers to help combat the #coronavirus...be more like @ZoeLucasPro and bring hand sanitizer to your matches as a precaution

#EVEWrestling @ProWrestlingEVE https://t.co/SUYUsaPm7j",44984,Extremely Positive,08-03-2020,32,,,,,,,,Положительно
USA,"Is this effective?
Is it necessary?
Or is it just optics?
Scare tactics?
For the American consumer?
For US MSM to use?
If optics, What is the intended effect?
Fear?
Crash US Market-&gt;panic-&gt;elect Biden

#Qanon #coronavirus https://t.co/H48ZMfuAme",44985,Extremely Negative,08-03-2020,33,,,,,,,,Очень отрицательно
"Toronto, Ontario","IMHO Russia's rug pull on oil prices is designed to end the dollar as the global reserve currency. How? Corp debt collapse, led by high yield and fracking, compounded by COVID-19, will mean Fed and US Govt respond with #MMT. Ciao dollar. Alt is collapse. Got #Gold or #Silver yet?",44986,Extremely Negative,08-03-2020,34,,,,,,,,Отрицательно
"Angmering, West Sussex",So not due to #Brexit at all then &gt;&gt; Supermarkets begin #foodrationing after wave of #coronavirus-fuelled panic buying https://t.co/AKgkHxO0tW,44987,Neutral,08-03-2020,35,,,,,,,,Очень отрицательно
"Dont ask for freedom, take it.","Remember, with all the media deflection stories about bog rolls, panic-buying, food shortages, Covid-19, Irish bridges etc etc.

We've still got Brexit, Austerity, poverty, a crashing economy &amp; the worst UK Govt in living memory. 

All depressing stuff &amp; it aint gonna end well.",44988,Extremely Negative,08-03-2020,36,,,,,,,,Очень отрицательно
"New York, NY","Fellow Uni instructors! COVID-19 f2f class cancelations are  inconvenient! But remember you're salaried employees. Maybe call/email HR or your union &amp; demand to know how hourly workers (clerical, food-service, custodial, etc) will be  compensated during campus closures?",44989,Negative,08-03-2020,37,,,,,,,,Отрицательно
,"@howroute Its not even over food... what the actual heck?? I have news for these people ... 

you need food and water before you need the paper to wipe your a$$. Just sayin.. ? 

#covid19 #Covid_19 #coronavirus #corona #virus #panic",44990,Neutral,08-03-2020,38,,,,,,,,Очень отрицательно
"Sydney, New South Wales","1/25 Part 1 - Why does soap work so well on the SARS-CoV-2, the coronavirus and indeed most viruses? Because it is a self-assembled nanoparticle in which the weakest link is the lipid (fatty) bilayer. A two part thread about soap, viruses and supramolecular chemistry #COVID19 https://t.co/OCwqPjO5Ht",44991,Negative,08-03-2020,39,,,,,,,,Отрицательно
Socially Distanced in NC,"Thread: Please STOP shaming folks who stock up on food and personal care products ahead of #CoronaVirus #COVID19. #Trump made it clear that he doesnt care and wont help, so theyre protecting their families their way. Its a tiny bit of mastery and control in terrifying times. https://t.co/12eMup9mtA",44992,Extremely Positive,08-03-2020,40,,,,,,,,Очень положительно
"Michigan, USA","For those thinking #seniors #disabled &amp; #vets shouldnt be included in any @realDonaldTrump aid package because of #Covid_19 #coronavirus check prices on antibacterial soaps, disinfectant safer transportation other than crowded city busses list goes on @SenStabenow @RashidaTlaib",44993,Positive,09-03-2020,41,,,,,,,,Отрицательно
Pennsylvania,"So far 36 Pennsylvanians have reached out to my Office to report inflated prices on everything from disinfectant spray to liquid soap.
 
Price gouging like this isnt just wrong, its illegal. Keep your emails coming: pricegouging@attorneygeneral.gov #coronavirus",44994,Negative,09-03-2020,42,,,,,,,,Отрицательно
Kolkata?? and Dhaka??,"Global stock markets continued their bear run as #DowJones and S&amp;P500 plunged as they opened on Monday. Plunge was largely on the back of the 30% overnight slump in #CrudeOil prices, along with the persistent concerns over the impact of #CoronaVirus on the global #economy.",44995,Neutral,09-03-2020,43,,,,,,,,Отрицательно
"Washington, D.C.",Scammers are taking advantage of fears surrounding the #Coronavirus. Here are some tips to help you keep scammers at bay: https://t.co/Yt892bgnBu #COVID2019 https://t.co/kmILU80H6h,44996,Positive,09-03-2020,44,,,,,,,,Отрицательно
"Burnaby, British Columbia","Are you doing business in international markets? This @ExportDevCanada webinar will show you how to navigate todays exporting challenges and rising commodity prices due to the COVID-19 virus.

https://t.co/pDBUlOnAEI",44997,Positive,09-03-2020,45,,,,,,,,Отрицательно
"Manhattan, NY","For those in gig economy who only earn if ppl are going out, we can immediately process refunds for 2019 Earned Income Tax Credit or Child Tax Credit - or they can borrow against 2020 credits. That cash can help make ends meet until normal consumer behavior returns #coronavirus",44998,Extremely Positive,09-03-2020,46,,,,,,,,Отрицательно
"Colorado, USA","I have instructed that insurance companies make COVID-19 testing free. This important step will help ensure cost barriers do not stand in the way of people getting tested. 

Read more: https://t.co/0VrdDfNPay https://t.co/9JdaVZw7ai",44999,Extremely Positive,09-03-2020,47,,,,,,,,Отрицательно
"Washington, DC",The oil prices dipping has absolutely nothing to do with #COVID2019 it has everything to do with #OPEC talks collapsing and Saudi feuding with Russia. Celebrate and calm the hell down.. weirdos.,45000,Extremely Negative,09-03-2020,48,,,,,,,,Отрицательно
United States,"Global stocks plummeted today due to fear surrounding #COVID2019 and falling oil prices, which saw the biggest one-day drop since the 1991 Gulf War.

Let's look at how the major stock indices have been reacting to the news, based on their closing values. https://t.co/fV7IehqaDo",45001,Extremely Negative,09-03-2020,49,,,,,,,,Отрицательно
#NoNazis?? kaspum zaháv,"The beginning of a  global recession!

#Coronavirus damaging health crisis?
#oil prices falling down?
US stocks falling down?
7% drop this morning &amp; trading halt?
#migration crisis at the EU borders 
#housingCrisis &amp; skyrocketing rents. Tenants are losing 50% of income?
#Q*",45002,Extremely Negative,09-03-2020,50,,,,,,,,Отрицательно
Australia,"@7NewsSydney @ScottMorrisonMP Some Factors have bought on the recession 1)Ignoring per-capita recession, 2)wage growth stagnant 3)Consumer debt levels are through the roof 4) casualized work! These changes in the economy are driven by government not #co",45003,Extremely Negative,09-03-2020,51,,,,,,,,Отрицательно
USA|EUROPE|ASIA|GLOBAL??,"Cuomo press conference...
New York is releasing new brand of state made had sanitizer prices from $0.80¢ - $6 a gallon!
#CoronaVirusUpdates #Corona #CoronavirusOutbreak #virus #COVID2019 #COVID19 #NYC

https://t.co/9jhElBwElZ",45004,Neutral,09-03-2020,52,,,,,,,,Отрицательно
Colorado,"Ignore online offers for #vaccinations. There currently are no vaccines, pills, potions, lotions, lozenges or other prescription or over-the-counter products available to treat or cure #Coronavirus disease 2019 (COVID-19)  online or in stores.

@FTC tips: https://t.co/Sqbf4LHB8H https://t.co/DX5po1KDqi",45005,Negative,09-03-2020,53,,,,,,,,Отрицательно
"Cambridgeshire, UK","If you are lucky enough to be sitting at home with enough food to get you through a period of self-isolation, please consider donating to the @TrussellTrust to help those who couldn't stock up even if they wanted to. #TrussellTrust #foodbanks #coronavirus #COVID19",45006,Extremely Positive,09-03-2020,54,,,,,,,,Отрицательно
earth,"@thehill Americans need to take it upon themselves to help avoid contracting covid-19.
Prep to self quarantine for 2 wks.
Stop unnecessary travel or crowd gatherings.
Talk to your employer about how to proceed w/o harm to your career.
Plan for sch",45007,Extremely Negative,09-03-2020,55,,,,,,,,Отрицательно
?? ???? ?????? . ??? ???? ???,"@realDonaldTrump Separate Table of US Corna Virus Statistics.
 Very high stats of corona virus.
 US Government's Inability to Control Corona Virus.
 High Price Disinfectant Gel in USA High price of mask in USA. 
Food prices are rising day by day",45008,Negative,09-03-2020,56,,,,,,,,Отрицательно
"Texas, USA","#ToiletPaper shortage ??
Don't believe everything you see on TV! My Costco just now....,.#CoronaVirus https://t.co/FDviKzgFwd",45009,Negative,10-03-2020,57,,,,,,,,Отрицательно
"Western Australia, Australia","Come on guys, please be like bob!

#COVID2019 #panicbuying #coronavirus https://t.co/kMly3zNynR",45010,Positive,10-03-2020,58,,,,,,,,Очень отрицательно
