UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,AutoLabel
2199,47151,"San Mateo County, California",14-03-2020,In Switzerland you can find a form online to let your neighbours know what you can do to help shopping daycare dog walking drive somewhere collect medicine etc You can then stick it to your building s door so ppl who need help can contact you,Extremely Positive,Отрицательно
3748,48700,,16-03-2020,"Its good to prepare, but please do so responsibly and keep other Ontarians in mind. Our grocers are working hard to keep pace with increased demand. And where possible, continue to support Ontario food businesses. https://t.co/MJf7S1Sq0h",Extremely Positive,Отрицательно
3776,48728,Southern Maine,16-03-2020,"At the store today, cat food was in low supply. Two thoughts:

-People must have panicked when #QuarantineCats started trending 

-Despite bare shelves, people, dont resort to cat food! (Not until toilet paper is back in stock)

#Covid_19 #COVID",Extremely Negative,Очень отрицательно
546,45498,"Richmond, VA",12-03-2020,"#CDC urges #Elderly to stock up on food, stay home amid #coronavirus fears

https://t.co/LO4xLVHrgR",Negative,Отрицательно
1159,46111,,13-03-2020,1.5 trillion to bail out the stock market and pregaming to bail out oil &amp; fracking companies and yet the Trump Administration will proceed to kick people off of food stamps despite the #coronavirus https://t.co/zDkZAR5p37 #Medicare4All #SocialismForTheRich #NotMeUs #Bernie2020,Neutral,Отрицательно
3525,48477,Australia,16-03-2020,"What are the hallmarks of a successful bricks and mortar retail business? As the #retail industry continues to face its challenges, especially now with #coronavirus, we discuss strategies for navigating a market increasingly dominated by online retailers. https://t.co/irXJ5yNpoG",Extremely Positive,Отрицательно
1401,46353,,13-03-2020,"Grocery store line. Eugene, OR. 1am PST. All the way to the back of the store, curving along back wall. No TP. No rice. No beans. #coronavirus https://t.co/NVSqnTHEAU",Extremely Negative,Отрицательно
746,45698,"United Kingdom, West Midlands",12-03-2020,"Apparently Chest Freezers are back in vogue and selling like hotcakes as people start to stock up on food ready for ""The Great Lockdown"" #covid-19 https://t.co/zRckWdqnYv",Extremely Positive,Отрицательно
2775,47727,"Niagara Falls, Ontario",14-03-2020,When you work in a grocery store and dont wanna go into work tomorrow because of the coronavirus ? #Covid_19 #CoronaVirusCanada,Neutral,Отрицательно
3221,48173,New York ,15-03-2020,"#Quarantine #coronavirus #Elderly #Food #toiletpaper When people are asked to Quarantine for 7-14days, they are right away homebound. Not everyone has access or know about online shopping. Many live alone and don't have help. Government, we need to help them get supplies.",Positive,Нейтрально
